Total time = 0:00:00.636577 | Calculation time= 0:00:00.634368 | For n_clusters = 2 | silhouette score is 0.8226367402696589)
Total time = 0:00:01.784219 | Calculation time= 0:00:00.734956 | For n_clusters = 3 | silhouette score is 0.8128629951066076)
Total time = 0:00:03.055375 | Calculation time= 0:00:00.827210 | For n_clusters = 4 | silhouette score is 0.8095066667097978)
Total time = 0:00:04.508003 | Calculation time= 0:00:01.045274 | For n_clusters = 5 | silhouette score is 0.8013942810629204)
Total time = 0:00:06.025915 | Calculation time= 0:00:01.118159 | For n_clusters = 6 | silhouette score is 0.8144960253123434)
Total time = 0:00:07.626229 | Calculation time= 0:00:01.200198 | For n_clusters = 7 | silhouette score is 0.7733231922620935)
Total time = 0:00:09.354468 | Calculation time= 0:00:01.301345 | For n_clusters = 8 | silhouette score is 0.8118132021555425)
Total time = 0:00:11.234457 | Calculation time= 0:00:01.483941 | For n_clusters = 9 | silhouette score is 0.7614613447356087)
Total time = 0:00:13.260239 | Calculation time= 0:00:01.605395 | For n_clusters = 10 | silhouette score is 0.7822199519312913)
Total time = 0:00:15.287049 | Calculation time= 0:00:01.618689 | For n_clusters = 11 | silhouette score is 0.7806361785835654)
Total time = 0:00:17.470181 | Calculation time= 0:00:01.781218 | For n_clusters = 12 | silhouette score is 0.7942082890405106)
Total time = 0:00:19.690083 | Calculation time= 0:00:01.801726 | For n_clusters = 13 | silhouette score is 0.7576713738064801)
Total time = 0:00:22.038271 | Calculation time= 0:00:01.960888 | For n_clusters = 14 | silhouette score is 0.8006184287543787)
Total time = 0:00:24.504403 | Calculation time= 0:00:02.054074 | For n_clusters = 15 | silhouette score is 0.7706812690329076)
Total time = 0:00:27.078718 | Calculation time= 0:00:02.181118 | For n_clusters = 16 | silhouette score is 0.7809919174576868)
Total time = 0:00:29.896339 | Calculation time= 0:00:02.265334 | For n_clusters = 17 | silhouette score is 0.7605234967865335)
Total time = 0:00:32.664633 | Calculation time= 0:00:02.358302 | For n_clusters = 18 | silhouette score is 0.7709101320840599)
Total time = 0:00:35.529795 | Calculation time= 0:00:02.449386 | For n_clusters = 19 | silhouette score is 0.7880191275628201)
Total time = 0:00:38.516991 | Calculation time= 0:00:02.572884 | For n_clusters = 20 | silhouette score is 0.7913962017945292)
Total time = 0:00:41.652568 | Calculation time= 0:00:02.718815 | For n_clusters = 21 | silhouette score is 0.789578091621235)
Total time = 0:00:44.997706 | Calculation time= 0:00:02.928256 | For n_clusters = 22 | silhouette score is 0.7724800818153861)
Total time = 0:00:48.247081 | Calculation time= 0:00:02.828598 | For n_clusters = 23 | silhouette score is 0.7053118706274953)
Total time = 0:00:51.799869 | Calculation time= 0:00:03.003930 | For n_clusters = 24 | silhouette score is 0.7615939815630536)
