Total time =| 0:00:25.438634 | Calculation time=| 0:00:23.050494 | For n_clusters = | 2 | sse: |2494.5254143378356
Total time =| 0:00:49.406570 | Calculation time=| 0:00:23.430512 | For n_clusters = | 3 | sse: |2466.6831689805795
Total time =| 0:01:13.456489 | Calculation time=| 0:00:23.552210 | For n_clusters = | 4 | sse: |2401.4862001764122
Total time =| 0:01:38.197396 | Calculation time=| 0:00:24.243307 | For n_clusters = | 5 | sse: |2376.378370843998
Total time =| 0:02:03.522597 | Calculation time=| 0:00:24.820776 | For n_clusters = | 6 | sse: |2340.8490213391733
Total time =| 0:02:30.833548 | Calculation time=| 0:00:26.783138 | For n_clusters = | 7 | sse: |2300.1782189444207
Total time =| 0:03:05.185442 | Calculation time=| 0:00:33.829298 | For n_clusters = | 8 | sse: |2263.1544570338256
Total time =| 0:03:32.041237 | Calculation time=| 0:00:26.321626 | For n_clusters = | 9 | sse: |2283.194863055115
Total time =| 0:03:59.760171 | Calculation time=| 0:00:27.040844 | For n_clusters = | 10 | sse: |2231.304071136653
Total time =| 0:04:27.861876 | Calculation time=| 0:00:27.597383 | For n_clusters = | 11 | sse: |2200.9554895709252
Total time =| 0:04:56.899640 | Calculation time=| 0:00:28.394690 | For n_clusters = | 12 | sse: |2201.9518498148823
Total time =| 0:05:26.101299 | Calculation time=| 0:00:28.704648 | For n_clusters = | 13 | sse: |2205.6869205114417
Total time =| 0:05:55.936017 | Calculation time=| 0:00:29.336796 | For n_clusters = | 14 | sse: |2160.364588896574
Total time =| 0:06:26.152833 | Calculation time=| 0:00:29.729701 | For n_clusters = | 15 | sse: |2165.0337697324303
Total time =| 0:06:57.881392 | Calculation time=| 0:00:31.110446 | For n_clusters = | 16 | sse: |2120.219764890526
Total time =| 0:07:37.810038 | Calculation time=| 0:00:39.076341 | For n_clusters = | 17 | sse: |2083.3151095677804
Total time =| 0:08:12.658045 | Calculation time=| 0:00:34.304447 | For n_clusters = | 18 | sse: |2088.1678282721914
Total time =| 0:08:48.533456 | Calculation time=| 0:00:35.384985 | For n_clusters = | 19 | sse: |2074.2366756820825
Total time =| 0:09:22.518183 | Calculation time=| 0:00:33.483488 | For n_clusters = | 20 | sse: |2058.6097404019265
Total time =| 0:10:04.072868 | Calculation time=| 0:00:41.017001 | For n_clusters = | 21 | sse: |2031.5369562543826
Total time =| 0:10:41.028356 | Calculation time=| 0:00:36.433978 | For n_clusters = | 22 | sse: |2024.9200549290551
Total time =| 0:11:17.013421 | Calculation time=| 0:00:35.425724 | For n_clusters = | 23 | sse: |1999.3768810180295
Total time =| 0:11:55.222366 | Calculation time=| 0:00:37.639081 | For n_clusters = | 24 | sse: |1988.4047903889186
Total time =| 0:12:30.834158 | Calculation time=| 0:00:35.123260 | For n_clusters = | 25 | sse: |1955.7754801687738
Total time =| 0:13:07.409296 | Calculation time=| 0:00:36.082784 | For n_clusters = | 26 | sse: |1949.59470130296
Total time =| 0:13:48.044099 | Calculation time=| 0:00:40.125497 | For n_clusters = | 27 | sse: |1955.3425204592472
Total time =| 0:14:27.806333 | Calculation time=| 0:00:39.273288 | For n_clusters = | 28 | sse: |1939.7306244862614
Total time =| 0:15:06.733479 | Calculation time=| 0:00:38.410617 | For n_clusters = | 29 | sse: |1911.303368932038
Total time =| 0:15:52.650277 | Calculation time=| 0:00:45.347245 | For n_clusters = | 30 | sse: |1899.2245171286354
Total time =| 0:16:37.032896 | Calculation time=| 0:00:43.664012 | For n_clusters = | 31 | sse: |1883.7892170811078
Total time =| 0:17:21.263337 | Calculation time=| 0:00:43.621053 | For n_clusters = | 32 | sse: |1881.2853640673375
Total time =| 0:18:04.028960 | Calculation time=| 0:00:42.245046 | For n_clusters = | 33 | sse: |1874.6705416161076
Total time =| 0:18:47.030992 | Calculation time=| 0:00:42.487727 | For n_clusters = | 34 | sse: |1861.3433946177458
Total time =| 0:19:28.596852 | Calculation time=| 0:00:41.063636 | For n_clusters = | 35 | sse: |1844.100698867299
Total time =| 0:20:11.967039 | Calculation time=| 0:00:42.853873 | For n_clusters = | 36 | sse: |1845.543584453529
Total time =| 0:20:53.511155 | Calculation time=| 0:00:41.045385 | For n_clusters = | 37 | sse: |1828.039793046167
Total time =| 0:21:38.826035 | Calculation time=| 0:00:44.819431 | For n_clusters = | 38 | sse: |1801.680874418101
Total time =| 0:22:20.762249 | Calculation time=| 0:00:41.422667 | For n_clusters = | 39 | sse: |1790.487896708054
Total time =| 0:23:03.402016 | Calculation time=| 0:00:42.144304 | For n_clusters = | 40 | sse: |1787.830318825728
Total time =| 0:23:47.564245 | Calculation time=| 0:00:43.498570 | For n_clusters = | 41 | sse: |1779.366150375459
Total time =| 0:24:34.919539 | Calculation time=| 0:00:46.844817 | For n_clusters = | 42 | sse: |1761.1452488887671
Total time =| 0:25:23.041021 | Calculation time=| 0:00:47.451559 | For n_clusters = | 43 | sse: |1730.3881474646516
