CUSTOMER_NUMBER;CUSTOMER_GROUP; ;TRAY020;TRAY030;TRAY010010;TRAY010030;TRAY010040;TRAY010050;TRAY010060;TRAY010070;TRAY010080;TRAY010090;TRAY010110;TRAY010120;TRAY010020010;TRAY010020020;TRAY010100010;TRAY010100020;TRBD010;TRBD030;TRBD060;TRBD070;TRBD080;TRBD090;TRBD100;TRBD020010;TRBD020020;TRBD020030;TRBD020040;TRBD020050;TRBD020060;TRBD040010;TRBD040020;TRBD050010;TRBD050020;TRBD050030;TRDY010010;TRDY010020;TRDY010030;TRDY010040;TRDY010050;TRDY010060;TRDY010080;TRDY010100;TRDY010110;TRDY010120;TRDY010130;TRDY010140;TRDY010150;TRDY010160;TRDY010170;TRDY010180;TRDY010190;TRDY010200;TRDY010210;TRDY010220;TRDY020010;TRDY020020;TRDY020030;TREK010;TREK020;TREK030;TREK040;TRIT010;TRIT020;TRIT030;TRIT040;TRIT060;TRKD010010;TRKD010020;TRKD010030;TRKD020010;TRKD020020;TRKD020030;TRKD020040;TRKD020050;TRKD020060;TRKD030010;TRKD030020;TRKD030030;TRKD030040;TRKD030050;TRKD030060;TRKD030070;TRKD030080;TRKD030090;TRKD030100;TRKD030110;TRKD030120;TRKD040010;TRKD040020;TRKD040030;TRKD040040;TRKD040050;TRKD040060;TRKD040070;TRKD040080;TRKD050010;TRKD050020;TRKD050040;TRKD050050;TRKD050060;TRKD050070;TRKD050080;TRKD050090;TRKD060010;TRKD060020;TRKD060030;TRKD060040;TRKD060050;TRKD060060;TRKD060070;TRKD070010;TRKD070020;TRKD050030010;TRKD050030020;TRKD050030030;TRKD050030040;TRKD050030050;TRKD050030060;TRKD050030070;TRKD050030080;TRKD050030090;TRKD050030100;TRKD050030110;TRKD050030120;TRKD050030130;TRKK010;TRKK020;TRKK030;TRKK040;TRKK050;TRKK060;TRKY020;TRKY010010;TRKY010030;TRKY010040;TRKY010050;TRKY010060;TRKY010070;TRKY030010;TRKY030020;TRKY030070;TRKY030080;TRKY030090;TRMD020;TRMD130;TRMD010010;TRMD010020;TRMD040010;TRMD040020;TRMD040030;TRMD040040;TRMD040050;TRMD040060;TRMD040070;TRMD040080;TRMD060010;TRMD060020;TRMD060030;TRMD060040;TRMD060050;TRMD070010;TRMD070020;TRMD070040;TRMD070050;TRMD070060;TRMD070070;TRMD070080;TRMD070090;TRMD070100;TRMD070140;TRMD070160;TRMD070170;TRMD070180;TRMD070190;TRMD070200;TRMD070210;TRMD070220;TRMD070230;TRMD070240;TRMD070250;TRMD070270;TRMD070280;TRMD070300;TRMD070310;TRMD070340;TRMD070350;TRMD070360;TRMD070370;TRMD070380;TRMD070390;TRMD070400;TRMD070410;TRMD070420;TRMD080010;TRMD080020;TRMD080030;TRMD080050;TRMD080070;TRMD090010;TRMD100010;TRMD100020;TRMD100030;TRMD100040;TRMD110010;TRMD110020;TRMD110030;TRMD120010;TRMD120020;TRMD140010;TRMD140020;TRMD140030;TRMD140040;TRMD140050;TRMD030010010;TRMD030010020;TRMD030010030;TRMD030010040;TRMD030010050;TRMD030010060;TRMD030020020;TRMD030020030;TRMD030020040;TRMD070030010;TRMD070030020;TRMD070150010;TRMD070150020;TRMD070320010;TRMD070320020;TRMD090020010;TRMD090020020;TRMD090020030;TRMK010;TRMK020;TRMU010;TRMU020;TRMU030;TRMU050;TRMU060;TRMU070;TRMU090;TRMU100;TRMU110;TRMU120;TRMU130;TRMU150;TRMU160;TRMU170;TRMU180;TRMU190;TRMU040010;TRMU040020;TRMU080010;TRMU080020;TRMU080030;TRMU080040;TRMU080050;TRMU080070;TRMU080090;TRMU080120;TRMU080130;TRMU140010;TRMU140020;TRMU140030;TRMU140040;TROF010;TROF030;TROF040;TROF050;TROG020;TROG040;TROG060;TROG070;TROG010010;TROG010020;TROG010030;TROG010040;TROG010050;TROG010060;TROG010070;TROG050020;TROG050030;TRVS020;TRVS030;TRVS040;TRVS050;TRVS060;TRVS080;TRVS010010;TRVS010020;TRVS070010;TRVS070020010;TRVS070020020;TRVS070020030;TRVS070020040;TRVS070020050;TRVS070020060;TRVS070020070
C17115314;SC1;;0,0017660;0;0,0049958;0;0;0,0000663;0;0,0009215;0,0003217;0,0011689;0;0;0;0;0;0;0;0,0012610;0;0;0;0;0;0;0,0003324;0;0;0;0;0,0003047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0417998;0;0;0;0,0004450;0;0;0;0;0,0015100;0;0;0,0000412;0;0;0;0;0;0;0,0021821;0,0033391;0;0;0;0;0,0026596;0,0024530;0;0;0;0;0;0;0;0;0,0024018;0,0033724;0;0;0;0;0;0,0411637;0,0000780;0,0023490;0;0,0306483;0,0003258;0;0;0,0022892;0;0;0,0031198;0;0;0;0,0024972;0,0157871;0,0176108;0,0050012;0,0007218;0;0,0069221;0;0,0867267;0,0002220;0;0;0;0,0030544;0;0;0;0;0;0,0216415;0;0;0,0042939;0,0027059;0;0,0123357;0,0007169;0;0;0,0006058;0;0,0044927;0,0049792;0;0;0;0,0016588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0195607;0;0,0080331;0;0;0;0;0,0022647;0,0004737;0;0;0;0;0;0,0004792;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0001743;0,0000836;0,0003377;0,0009108;0,0915573;0;0,0002490;0;0,0055103;0,0013525;0;0;0;0,0003280;0;0,0186394;0,0561697;0;0;0;0;0,0104460;0;0;0,0000889;0;0,0005024;0,0012156;0;0;0,0003956;0,0000395;0,0109378;0,0004344;0,1467723;0,0026020;0;0,0144383;0;0,0004528;0,0016896;0;0,0129461;0;0;0;0;0,0034044;0;0;0,0001520;0,0008702;0;0;0;0;0,0003203;0;0;0;0;0;0;0,0236472;0,0072459;0,0017822;0;0;0,0017576;0;0;0;0;0;0,0001443;0;0;0;0,0162753;0;0,0006335;0;0,0000324;0;0,0078704;0;0;0;0,0467091;0;0,0029993;0,0016921;0,0028905;0;0;0;0,0017368;0,1274616;0
C17115770;SC1;;0,0185990;0;0,0032764;0,0003564;0;0,0025540;0,0005804;0,0010593;0,0052684;0,0144135;0;0,0005587;0,0000762;0;0,0070753;0,0088365;0;0,0028960;0,0001758;0;0;0;0;0;0;0,0005990;0,0084374;0;0,0027552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000000;0;0;0,0010143;0;0;0;0;0,0032557;0,0008052;0;0;0;0;0;0,0000986;0;0;0,0018150;0,0012861;0;0;0;0;0,0019309;0,0165239;0;0;0;0,0001298;0;0;0;0;0,0039946;0,0145772;0,0009581;0;0;0,0020573;0;0,0608976;0;0;0;0,1085983;0,0012080;0;0;0,0022461;0;0;0,0001973;0,0001108;0;0;0,0039519;0,0415206;0,0088984;0,0394165;0,0051276;0,0017746;0,0078577;0;0,0506528;0,0004227;0,0009581;0;0,0046447;0,0516659;0;0;0;0,0179698;0,0003481;0,0457838;0;0,0043382;0,0065360;0,0074641;0;0,0000215;0,0002316;0,0003326;0;0,0001960;0,0010183;0,0353452;0,0039239;0;0,0035867;0,0025809;0;0;0,0005768;0;0;0;0;0,0035373;0;0;0;0;0;0,0000429;0;0,0001470;0,0002677;0,0046612;0,0034543;0,0003180;0;0;0,0041393;0,0005614;0;0;0,0014906;0;0;0;0;0;0;0,0013547;0;0,0000331;0;0;0;0;0;0;0;0,0133734;0,0001658;0,0010027;0,0095686;0,0377364;0;0,0009084;0;0,0018712;0,0011001;0;0,0010212;0,0022698;0,0021526;0;0,0082662;0,0109505;0;0;0;0;0,0438002;0;0;0;0;0,0000312;0;0;0;0;0,0008679;0,0341982;0,0002084;0,0248803;0,0043270;0;0,0035494;0;0,0023945;0,0013560;0;0,0042053;0,0000759;0;0,0005577;0;0,0049074;0,0027659;0;0;0,0023993;0;0,0002294;0;0;0,0000426;0;0;0;0;0;0,0215659;0,0329334;0,0184779;0;0;0;0,0002668;0;0,0012407;0;0;0;0,0001004;0;0;0;0,0056052;0;0,0014043;0,0124678;0,0007304;0;0,0089966;0;0;0;0,0032940;0,0012131;0,0027772;0,0002406;0,0005852;0;0;0;0;0,0005428;0
C17008070;SC1;;0,0023556;0;0,0074085;0;0;0,0000986;0,0369950;0;0,0011851;0,0010410;0;0;0;0;0,0004497;0,0000766;0;0;0;0;0;0;0,0000369;0;0;0;0,0670696;0,0000827;0,0003366;0,0000580;0;0;0;0,0007185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0004476;0,0000198;0;-0,0000033;0;0;0;0,0000001;0;0;0;0,0000967;0,0054857;0,0059498;0;0,0006961;0;0;0;0,0038107;0,0032860;0;0,0058661;0,0008427;0;0;0;0;0;0,0203942;0;0;0,0670810;0;0;0;0;0,0003681;0,0016759;0,0058506;0,0028534;0,0027580;0;0,0056484;0;0,0561718;0;0;0;0,0388323;0;0;0;0,0038829;0,0010552;0;0,0023455;0;0,0127442;0;0,0052596;0,0118179;0,0225938;0,0103042;0,0046355;0;0,0225220;0;0,1228295;0,0013387;0,0001986;0;0,0099063;0,0009788;0;0,0000243;0;0,0073239;0;0,0089036;0;0,0011069;0;0,0093004;0;0,0000962;0,0000634;0,0002317;0;0,0076574;0;0,0102714;0,0088604;0;0;0;0;0,0000648;0;0,0013055;0;0;0;0,0002841;0;0;0,0001236;0;0;0,0000604;0;0;0,0000035;0,0083698;0;0;0;0;0,0071191;0,0008417;0;0;0,0002384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0010748;0,0015421;0,0072532;0,0032011;0,0776884;0;0,0004209;0;0,0007338;0,0001923;0;0;0,0000424;0,0000955;0,0000748;0,0054319;0,0652681;0;0;0;0;0,0296052;0;0;0;0;0;0;0;0;0;0,0001353;0,0061309;0,0023726;0,0314334;0;0;0,0010126;0;0,0022084;0,0018634;0,0010379;0,0047889;0,0002680;0;0,0003295;0;0,0010538;0,0014886;0;0,0001241;0,0012401;0,0004465;0,0140468;0,0089445;0,0014809;0,0000120;0;0,0043841;0;0;0,0151110;0,0110655;0,0125570;0,0060834;0,0013380;0;0;0,0007132;0;0;0;0,0003789;0,0001448;0,0002232;0;0,0000443;0;0,0031357;0;0,0038471;0,0046343;0;0;0,0003510;0;0;0;0,0042606;0,0014440;0,0023144;0,0006709;0;0;0;0;0;0,0035487;0
C16803628;SC1;;0;0;0;0;0;0;0,0081222;0;0;0;0;0;0;0;0,0007221;0;0;0;0;0;0;0;0;0;0,0001943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0415295;0;0;0,0046776;0;0;0,0037368;0,0206144;0,0177890;0,0000825;0,0009913;0,0019013;0,0074469;0;0;0;0,0684161;0;0;0;0;0;0;0;0;0;0,0039420;0,0105599;0,0135906;0;0;0,0005932;0;0,0172316;0;0;0;0,0432049;0;0;0;0,0292690;0;0;0;0;0;0;0,0174967;0,0052699;0,0255956;0,0024050;0;0;0,0028686;0;0,0555939;0,0003503;0,0004038;0;0;0,0032293;0;0;0;0;0;0,0005888;0;0,0028528;0;0,0220534;0;0;0;0;0;0;0;0,0016234;0,0418332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0073951;0;0,0714093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0004174;0,0005086;0;0;0,0016826;0,1339385;0;0,0034589;0;0,0002211;0;0;0;0;0,0048915;0;0,0219154;0,0696242;0;0;0;0;0,0337655;0;0;0;0;0,0007972;0;0;0;0;0,0012738;0,0558898;0,0000363;0,0106599;0;0;0;0;0;0,0023271;0;0;0,0052502;0;0;0;0;0,0004465;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0021955;0,0087771;0,0136382;0;0;0;0,0090378;0;0;0;0;0;0;0;0;0;0,0080924;0;0,0021593;0,0113933;0;0;0;0;0;0;0,0078833;0;0,0080747;0;0;0;0;0;0;0,0260596;0
C16828548;SC1;;0,0029705;0;0,0056321;0;0;0,0000488;0;0;0,0016664;0,0029887;0;0;0;0;0;0,0012483;0;0;0;0;0;0;0;0,0008783;0;0;0,0008550;0;0,0009541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005359;0;0;-0,0000001;0;0;0;0;0;0;0;0;0,0012886;0;0;0;0;0;0;0,0014589;0,0039553;0;0,0004615;0,0007593;0;0;0,0011037;0;0;0;0;0;0;0;0;0;0;0;0,0015891;0,0045563;0;0;0;0;0;0,0404584;0;0;0;0,0135133;0;0;0;0,0009195;0;0;0;0;0;0;0;0,0254755;0,0149856;0,0003661;0;0;0,0029106;0;0,2816570;0;0;0;0;0,0006443;0;0;0;0;0;0,0005989;0,0015279;0;0;0,0001929;0;0;0,0000320;0,0009578;0;0,0048724;0;0,0556428;0,0062855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0175959;0;0,0033328;0,0009312;0;0;0;0,0031219;0,0020159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000093;0;0,0000112;0,0004165;0,0414593;0;0;0;0,0000995;0;0;0,0004125;0,0001033;0,0003675;0;0,0000791;0,0060109;0;0;0;0;0,0042147;0;0;0;0;0,0001654;0;0;0;0;0;0,0434100;0;0,0869274;0;0;0;0;0,0018895;0,0009657;0;0;0;0;0;0;0,0016613;0,0006650;0;0;0,0008380;0;0;0;0;0;0;0;0;0;0;0,0167575;0,0085310;0,0301927;0;0;0;0;0;0;0;0;0,0060242;0,0000785;0;0;0;0,0090199;0;0,0016927;0;0;0;0,0060780;0;0;0;0;0;0,0003253;0,0018010;0,0017410;0;0;0;0;0,2170633;0
C17129456;SC1;;0,0026297;0;0,0042342;0;0,0014720;0,0005813;0,0031846;0;0,0020169;0,0032116;0,0001019;0,0001325;0,0005278;0;0,0005416;0,0020526;0,0003695;0,0006010;0,0000478;0;0;0,0002613;0,0013822;0,0000460;0,0003913;0,0002742;0,0016879;0,0001857;0,0005730;0,0000896;0;0,0000182;0;0,0001241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0002547;0,0000112;0;0,0002520;0,0004646;0,0000000;0;0,0008256;0,0000173;0;0;0,0000562;0,0111104;0,0012291;0,0163202;0,0041755;0;0,0000122;0,0018064;0,0024565;0,0014852;0;0,0056736;0,0031057;0,0006230;0;0,0012422;0,0003186;0,0012406;0,0200065;0;0,0000433;0,0000166;0,0003837;0;0;0;0,0000442;0,0040849;0,0030080;0,0008117;0;0;0,0030427;0;0,0708433;0;0,0001090;0;0,0441889;0,0011288;0;0;0,0018995;0,0002422;0;0,0004168;0,0000342;0;0;0,0053152;0,0119653;0,0108245;0,0156642;0,0011758;0;0,0035874;0,0000421;0,0859717;0,0006466;0,0004452;0;0;0,0110822;0,0001119;0,0009928;0;0,0032796;0,0006511;0,0207867;0,0005047;0,0017685;0,0002581;0,0056591;0;0,0000323;0,0000177;0,0000105;0;0,0011787;0,0004913;0,0089621;0,0338046;0,0000085;0,0002154;0,0001253;0,0000394;0;0,0001048;0;0,0000403;0;0;0;0;0,0001299;0;0;0;0;0,0000469;0,0046171;0,0007300;0,0127867;0,0002565;0,0000847;0;0,0019725;0,0009411;0,0000575;0;0,0000163;0,0005506;0;0,0000106;0;0,0001872;0;0;0,0002850;0;0,0000244;0,0001435;0;0;0,0002630;0;0;0,0000590;0,0105777;0,0010631;0,0013179;0,0008258;0,1658050;0,0000136;0,0004508;0;0,0028756;0,0009556;0;0,0001925;0,0007692;0,0007952;0,0000383;0,0403487;0,0659911;0;0;0,0100672;0,0001202;0,0461599;0,0007991;0;0,0000024;0,0000057;0,0001549;0,0001592;0;0;0;0,0000629;0,0116840;0,0003915;0,0213511;0,0008621;0;0,0001141;0;0,0029869;0,0010559;0,0001445;0,0091996;0,0005755;0;0,0003925;0;0,0041427;0,0005292;0;0,0000777;0,0007973;0,0001374;0,0011151;0,0015384;0;0;0;0,0005982;0;0;0,0005629;0,0092491;0,0087863;0,0034935;0,0002283;0;0,0000833;0,0001076;0;0;0,0004466;0,0004619;0;0,0004422;0,0003410;0,0000827;0,0000017;0,0074686;0;0,0109820;0,0010737;0,0000238;0,0000171;0,0043263;0;0,0000906;0,0001331;0,0309409;0,0004169;0,0102306;0,0011644;0,0005184;0,0000362;0,0000095;0;0,0000109;0,0223640;0,0000100
C17116392;SC1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0024279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0003655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0013563;0;0;0,0033424;0;0;0;0;0;0,0002998;0;0;0;0;0;0;0;0;0;0,0046208;0,0000257;0;0;0;0;0;0;0;0;0;0,0138647;0;0;0;0;0;0;0;0;0;0;0;0,0006330;0,0020449;0,0001046;0;0;0,0018156;0;0,0244437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0002530;0;0,0001937;0;0;0;0;0;0;0,1566395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0161584;0;0;0;0;0,0077065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0031506;0;0,6483197;0;0;0;0;0,0009045;0;0;0,0000933;0;0;0;0,0021755;0;0;0;0;0,0074896;0;0;0;0;0;0;0;0;0;0;0,0207621;0,0006269;0,0396920;0;0;0;0;0,0014723;0,0010226;0;0;0;0;0,0026736;0;0;0,0003600;0;0;0,0009009;0;0;0;0;0;0;0;0;0;0;0,0078703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0170505;0,0005102;0,0064856;0,0002263;0;0;0;0;0;0,0026485;0
C17113404;SC1;;0,0035902;0;0,0012993;0;0;0,0007825;0;0,0014817;0,0036703;0,0011016;0;0;0;0;0,0018289;0,0004408;0;0,0035887;0;0,0028849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0024620;0;0,0035899;0;0;0;0,0010429;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0015689;0,0003231;0,0008284;0;0;0;0;0;0;0;0;0;0,0003123;0;0;0;0;0;0,0072121;0,0011622;0;0;0;0,0030716;0,0264332;0;0;0;0,0674626;0,0008475;0;0;0,0005150;0;0;0,0004325;0;0;0;0,0018201;0,0065453;0,0051212;0,0159318;0;0;0,0103011;0;0,1657605;0;0;0;0;0,0016528;0;0;0;0;0,0001908;0,0264687;0,0523802;0;0;0,0023077;0;0,0003993;0;0;0;0,0063249;0;0,0264775;0,0311047;0;0;0;0;0;0;0;0;0,0008430;0;0;0;0;0;0;0;0;0,0001889;0,0031097;0,0006720;0,0139689;0;0;0;0;0,0009270;0,0000924;0;0;0,0037674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0008826;0;0,0018223;0,0020449;0,1136167;0;0;0;0,0178273;0,0017931;0;0;0;0;0;0,0172550;0,0140029;0;0;0;0;0,0504022;0;0;0;0;0,0007750;0,0008328;0;0;0;0;0,0025870;0,0018217;0,0450373;0;0;0;0;0,0117801;0,0033838;0,0004455;0,0043727;0;0;0;0;0,0073370;0,0004888;0;0;0,0014432;0;0;0;0;0;0;0;0;0;0;0,0233609;0,0259774;0,0195066;0;0;0;0,0010735;0;0;0,0012010;0,0031008;0;0;0;0;0;0;0;0,0032297;0;0;0;0,0085459;0;0;0;0,0371895;0;0,0051024;0,0010330;0,0002512;0;0;0;0,0003622;0,0558247;0
C16802170;SC1;;0,0004226;0;0;0;0;0,0000332;0,0171396;0;0,0004996;0,0003850;0;0;0;0;0,0000548;0;0;0;0;0;0;0;0,0002315;0,0005657;0;0;0,0004093;0;0;0,0000625;0;0;0;0,0014198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0000005;0;0;0;0,0006848;0;0;0;0;0,0185678;0,0053547;0,0003233;0,0243548;0;0;0;0,0048153;0,0025643;0;0,0055133;0,0006713;0,0000194;0;0;0;0,0007150;0,0673595;0;0;0,0037086;0,0009698;0;0;0;0,0001018;0,0063763;0,0039368;0,0007016;0,0001297;0,0000358;0,0007444;0;0,1178755;0,0005746;0,0008157;0;0,0435084;0,0182651;0;0;0,0091725;0;0;0,0024885;0;0;0;0,0036672;0,0111535;0,0119603;0,0053511;0,0000622;0,0022395;0,0031602;0;0,0547518;0,0000500;0;0;0;0,0065765;0;0;0;0,0144290;0;0,0161197;0;0,0005295;0;0,0016391;0;0;0;0;0;0,0002240;0;0,0521960;0,0047160;0,0000065;0;0,0001189;0;0;0,0001482;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0027126;0;0,0000461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000175;0;0;0;0;0;0;0,0008143;0,0010614;0,0000103;0,0009267;0,0031429;0,0675850;0;0,0000596;0;0,0002829;0,0009154;0;0;0,0000768;0,0007401;0,0001038;0,0063502;0,1301553;0;0;0,0001807;0;0,0325772;0;0;0;0;0;0;0;0;0;0,0001182;0,0574749;0,0005074;0,0466802;0,0007532;0;0;0;0,0042532;0,0027902;0,0000771;0,0006727;0,0054760;0;0;0;0;0,0002462;0;0;0,0001371;0;0;0,0013809;0;0;0;0;0;0;0;0,0063973;0,0009553;0,0382614;0;0;0;0,0000467;0;0;0;0,0021222;0;0,0003939;0;0,0000157;0;0,0034563;0;0,0144767;0,0025753;0,0001578;0;0,0015648;0;0;0,0000128;0,0040394;0,0004991;0,0007745;0,0004095;0,0001138;0;0;0;0;0,0047299;0
C16825022;SC1;;0;0;0;0;0;0,0003038;0;0,0020856;0;0,0005272;0;0;0;0;0;0,0009222;0;0;0;0;0;0;0;0;0;0;0,0017256;0,0005336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0023518;0;0;0;0;0,0031539;0,0010366;0;0;0;0;0;0;0;0;0,0145804;0,0080082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0004638;0,0064369;0;0;0;0,0031646;0;0,0031890;0;0;0;0,0261204;0,0020672;0;0;0,0004076;0;0;0,0072654;0;0;0;0,0055744;0,0124848;0,0158471;0,0000936;0,0004562;0;0,0144987;0;0,0991645;0;0;0;0;0,0174467;0;0,0025982;0;0;0;0,0088130;0;0;0;0,0045727;0;0;0;0;0;0,0018375;0;0,0241101;0,0020704;0;0;0;0;0;0;0;0;0,0005692;0;0;0;0;0;0;0;0;0;0,0027442;0,0002180;0,0376563;0;0;0;0;0,0002896;0,0002930;0;0;0;0;0;0;0;0;0;0;0;0;0,0024620;0;0;0;0;0;0;0,0016630;0;0,0002142;0,0057795;0,1211319;0;0,0001063;0;0,0046645;0;0;0;0,0019621;0,0010971;0;0,0692862;0,0747240;0;0;0;0;0,0307982;0;0;0;0;0;0;0;0;0;0,0000425;0,0281651;0,0002791;0,1583366;0;0;0;0;0,0012595;0,0048031;0;0;0,0000992;0;0;0;0,0033555;0,0005809;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0067134;0,0041467;0,0025812;0;0;0;0,0063396;0;0;0;0;0;0,0000568;0;0;0;0,0440087;0;0,0153516;0;0;0;0,0004653;0;0;0;0,0415315;0,0004911;0,0182689;0,0109133;0;0;0;0;0,0000364;0,0026032;0
